tanggal;propinsi;nilai;kategori;pulau
2020-03-27;Maluku;1;Terkonfirmasi;Maluku
2020-03-27;Papua Barat;2;Terkonfirmasi;Papua
2020-03-27;Papua;7;Terkonfirmasi;Papua
2020-03-27;Aceh;0;Kematian;Sumatera
2020-03-27;Bali;2;Kematian;Sunda Kecil
2020-03-27;Banten;4;Kematian;Jawa
2020-03-27;Yogyakarta;2;Kematian;Jawa
2020-03-27;Jakarta;51;Kematian;Jawa
2020-03-27;Jambi;0;Kematian;Sumatera
2020-03-27;Jawa Barat;14;Kematian;Jawa
2020-03-27;Jawa Tengah;6;Kematian;Jawa
2020-03-27;Jawa Timur;4;Kematian;Jawa
2020-03-27;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-27;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-27;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-27;Kalimantan Selatan;0;Kematian;Kalimantan
2020-03-27;Kepulauan Riau;1;Kematian;Sumatera
2020-03-27;Nusa Tenggara Barat;0;Kematian;Sunda Kecil
2020-03-27;Sumatera Selatan;1;Kematian;Sumatera
2020-03-27;Sumatera Barat;0;Kematian;Sumatera
2020-03-27;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-27;Sumatera Utara;1;Kematian;Sumatera
2020-03-27;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-27;Sulawesi Selatan;1;Kematian;Sulawesi
2020-03-27;Sulawesi Tengah;0;Kematian;Sulawesi
2020-03-27;Lampung;0;Kematian;Sumatera
2020-03-27;Riau;0;Kematian;Sumatera
2020-03-27;Maluku Utara;0;Kematian;Maluku
2020-03-27;Maluku;0;Kematian;Maluku
2020-03-27;Papua Barat;0;Kematian;Papua
2020-03-27;Papua;0;Kematian;Papua
2020-03-28;Aceh;4;Terkonfirmasi;Sumatera
2020-03-28;Bali;9;Terkonfirmasi;Sunda Kecil
2020-03-28;Banten;103;Terkonfirmasi;Jawa
2020-03-28;Yogyakarta;22;Terkonfirmasi;Jawa
2020-03-28;Jakarta;627;Terkonfirmasi;Jawa
2020-03-28;Jambi;1;Terkonfirmasi;Sumatera
2020-03-28;Jawa Barat;119;Terkonfirmasi;Jawa
2020-03-28;Jawa Tengah;55;Terkonfirmasi;Jawa
2020-03-28;Jawa Timur;77;Terkonfirmasi;Jawa
2020-03-28;Kalimantan Barat;3;Terkonfirmasi;Kalimantan
2020-03-28;Kalimantan Timur;17;Terkonfirmasi;Kalimantan
2020-03-28;Kalimantan Tengah;7;Terkonfirmasi;Kalimantan
2020-03-28;Kalimantan Selatan;1;Terkonfirmasi;Kalimantan
2020-03-28;Kepulauan Riau;5;Terkonfirmasi;Sumatera
2020-03-28;Nusa Tenggara Barat;2;Terkonfirmasi;Sunda Kecil
2020-03-28;Sumatera Selatan;2;Terkonfirmasi;Sumatera
2020-03-28;Sumatera Barat;5;Terkonfirmasi;Sumatera
2020-03-28;Sulawesi Utara;2;Terkonfirmasi;Sulawesi
2020-03-28;Sumatera Utara;8;Terkonfirmasi;Sumatera
2020-03-28;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-28;Sulawesi Selatan;33;Terkonfirmasi;Sulawesi
2020-03-28;Sulawesi Tengah;2;Terkonfirmasi;Sulawesi
2020-03-28;Lampung;3;Terkonfirmasi;Sumatera
2020-03-28;Riau;1;Terkonfirmasi;Sumatera
2020-03-28;Maluku Utara;1;Terkonfirmasi;Maluku
2020-03-28;Maluku;1;Terkonfirmasi;Maluku
2020-03-28;Papua Barat;2;Terkonfirmasi;Papua
2020-03-28;Kalimantan Utara;2;Terkonfirmasi;Kalimantan
2020-03-28;Papua;7;Terkonfirmasi;Papua
2020-03-28;Aceh;0;Kematian;Sumatera
2020-03-28;Bali;2;Kematian;Sunda Kecil
2020-03-28;Banten;4;Kematian;Jawa
2020-03-28;Yogyakarta;2;Kematian;Jawa
2020-03-28;Jakarta;62;Kematian;Jawa
2020-03-28;Jambi;0;Kematian;Sumatera
2020-03-28;Jawa Barat;17;Kematian;Jawa
2020-03-28;Jawa Tengah;7;Kematian;Jawa
2020-03-28;Jawa Timur;4;Kematian;Jawa
2020-03-28;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-28;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-28;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-28;Kalimantan Selatan;0;Kematian;Kalimantan
2020-03-28;Kepulauan Riau;1;Kematian;Sumatera
2020-03-28;Nusa Tenggara Barat;0;Kematian;Sunda Kecil
2020-03-28;Sumatera Selatan;1;Kematian;Sumatera
2020-03-28;Sumatera Barat;0;Kematian;Sumatera
2020-03-28;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-28;Sumatera Utara;1;Kematian;Sumatera
2020-03-28;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-28;Sulawesi Selatan;1;Kematian;Sulawesi
2020-03-28;Sulawesi Tengah;0;Kematian;Sulawesi
2020-03-28;Lampung;0;Kematian;Sumatera
2020-03-28;Riau;0;Kematian;Sumatera
2020-03-28;Maluku Utara;0;Kematian;Maluku
2020-03-28;Maluku;0;Kematian;Maluku
2020-03-28;Papua Barat;0;Kematian;Papua
2020-03-28;Kalimantan Utara;0;Kematian;Kalimantan
2020-03-28;Papua;0;Kematian;Papua
2020-03-29;Aceh;5;Terkonfirmasi;Sumatera
2020-03-29;Bali;10;Terkonfirmasi;Sunda Kecil
2020-03-29;Banten;106;Terkonfirmasi;Jawa
